83.231.214.172/30,RO,RO-B,Bucharest,
83.231.214.212/30,RO,RO-SB,Sibiu,
212.119.27.192/30,IT,IT-21,Turin,
5.158.213.8/30,IE,IE-D,Dublin,
83.231.214.228/30,CH,CH-GE,Genève,
83.231.214.196/30,FI,FI-18,Helsinki,
83.231.214.112/30,IT,IT-MI,Milan,
213.198.77.176/30,RO,RO-TM,Timisoara,
165.254.178.240/28,US,US-NY,,
202.68.64.0/20,AU,AU-NSW,Sydney,
103.13.80.0/22,AU,AU-NSW,Sydney,
153.254.80.0/22,AU,AU-NSW,Sydney,
198.107.141.0/24,US,US-CA,,
128.241.0.128/29,US,US-CA,,
116.51.31.96/30,SG,,Singapore,
209.212.229.0/24,HK,,Hong Kong,
165.254.42.200/29,US,US-VA,, 
209.212.233.0/24,AU,AU-NSW,Sydney,
209.212.228.0/24,JP,JP-13,Tokyo,
209.212.236.0/24,KR,,Seoul,
209.212.234.0/24,MY,,,
209.212.232.0/24,SG,,Singapore,
209.212.235.0/24,TH,TH-10,Bangkok,
213.130.51.128/25,GB,GB-SLG,Slough,
81.25.197.192/30,FR,FR-75C,Paris,
128.241.11.225/30,US,US-VA,Ashburn,
81.93.181.144/28,FR,FR-75C,Paris,
204.141.244.0/23,US,US-VA,Ashburn,
200.15.0.0/24,BR,BR-SP,Sao Paulo,
200.15.1.0/24,BR,BR-SP,Sao Paulo,
204.1.139.0/24,IT,IT-62,Rome,
200.15.2.0/24,BR,BR-SP,Sao Paulo,
200.15.3.0/24,BR,BR-SP,Sao Paulo,
200.15.4.0/24,BR,BR-SP,Sao Paulo,
83.217.231.160/27,JP,JP-13,Tokyo,
200.15.5.0/24,BR,BR-SP,Sao Paulo,
200.15.6.0/24,BR,BR-SP,Sao Paulo,
200.15.7.0/24,BR,BR-SP,Sao Paulo,
200.15.8.0/24,BR,BR-SP,Sao Paulo,
200.15.9.0/24,BR,BR-SP,Sao Paulo,
200.15.10.0/24,BR,BR-SP,Sao Paulo,
200.15.11.0/24,BR,BR-SP,Sao Paulo,
200.15.12.0/24,BR,BR-SP,Sao Paulo,
200.15.13.0/24,BR,BR-SP,Sao Paulo,
200.15.14.0/24,BR,BR-SP,Sao Paulo,
200.15.15.0/24,BR,BR-SP,Sao Paulo,
140.174.14.0/24,DE,DE-HE,Frankfurt,
200.15.12.0/22,BR,BR-SP,Sao Paulo,
203.105.64.248/30,JP,JP-13,Tokyo,
165.254.21.0/29,BR,BR-SP,Sao Paulo,
83.231.152.0/24,DE,DE-HE,Frankfurt,
83.231.153.0/24,DE,DE-HE,Frankfurt,
204.141.228.0/24,US,US-NY,,
204.141.20.0/22,US,US-IA,Cedar Rapids,
2001:0418:1403::/48,US,US-VA,Ashburn,
2001:418:0:5000::1c/127,US,US-VA,Ashburn,
128.242.118.192/27,US,US-CA,Sacramento,
157.238.218.200/29,US,US-CA,Sacramento,
128.242.117.0/25,US,US-CA,Sacramento,
206.14.129.48/28,US,US-CA,Sacramento,
213.198.104.0/22,FR,FR-75C,Paris,
204.2.88.0/21,PR,,San Juan,
157.238.229.0/29,DE,DE-HE,Frankfurt,
157.238.229.8/29,FR,,Marseille,
157.238.229.16/29,FR,,Paris,
157.238.229.24/29,NL,NL-NH,Amsterdam,
157.238.229.32/29,GB,GB-LND,London,
140.174.240.0/20,PR,,San Juan,
140.174.40.0/21,VE,,,
213.198.27.0/24,FR,FR-75C,Paris,
192.67.236.0/22,AU,AU-NSW,Sydney,
81.25.202.128/25,IT,IT-25,Milan,
206.54.0.0/20,HK,,Hong Kong,
206.54.16.0/20,JP,JP-13,Tokyo,
206.54.32.0/20,SG,,Singapore,
83.231.214.0/24,DE,DE-HE,Frankfurt,
203.131.244.0/24,HK,,Hong Kong,
